9463309	disease	379	383	side	Sudden Infant Death	D013398		S3	CTD (MESH)	C0038644
9463309	disease	474	477	was	Wiskott-Aldrich Syndrome	D014923		S4	CTD (MESH)	C0043194
9463309	disease	538	541	was	Wiskott-Aldrich Syndrome	D014923		S4	CTD (MESH)	C0043194
9463309	disease	784	787	Hp2	Primary hyperoxaluria type 2	C536415		S5	CTD (MESH)	C0268165
9463309	disease	900	903	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	909	912	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	937	940	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	947	950	Hp1	Primary hyperoxaluria type 1	C536414		S6	CTD (MESH)	C0268164
9463309	disease	951	954	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	1007	1010	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	1016	1019	Hp2	Primary hyperoxaluria type 2	C536415		S6	CTD (MESH)	C0268165
9463309	disease	1053	1056	Hp1	Primary hyperoxaluria type 1	C536414		S6	CTD (MESH)	C0268164
9463309	disease	1061	1064	Hp1	Primary hyperoxaluria type 1	C536414		S6	CTD (MESH)	C0268164
9463309	disease	1140	1143	Hp1	Primary hyperoxaluria type 1	C536414		S6	CTD (MESH)	C0268164
9463309	disease	1149	1152	Hp2	Primary hyperoxaluria type 2	C536415		S7	CTD (MESH)	C0268165
9463309	disease	1350	1353	Hp2	Primary hyperoxaluria type 2	C536415		S11	CTD (MESH)	C0268165
9463309	disease	1404	1407	Hp1	Primary hyperoxaluria type 1	C536414		S11	CTD (MESH)	C0268164
9463309	disease	1414	1417	was	Wiskott-Aldrich Syndrome	D014923		S11	CTD (MESH)	C0043194
9463309	disease	1437	1440	was	Wiskott-Aldrich Syndrome	D014923		S12	CTD (MESH)	C0043194
9463309	disease	1501	1504	Hp1	Primary hyperoxaluria type 1	C536414		S12	CTD (MESH)	C0268164
9463309	disease	1594	1597	Hp2	Primary hyperoxaluria type 2	C536415		S15	CTD (MESH)	C0268165
9463309	disease	1619	1622	Hp2	Primary hyperoxaluria type 2	C536415		S15	CTD (MESH)	C0268165
9463309	disease	1629	1632	was	Wiskott-Aldrich Syndrome	D014923		S15	CTD (MESH)	C0043194
