9674906	disease	64	68	case	Apraxias	D001072		S1	CTD (MESH)	CUI-less
9674906	disease	206	209	SJS	Osteochondrodysplasias	D010009		S2	CTD (MESH)	CUI-less
9674906	disease	263	266	SJS	Osteochondrodysplasias	D010009		S2	CTD (MESH)	CUI-less
9674906	disease	361	364	SWS	Sturge-Weber Syndrome	D013341		S3	CTD (MESH)	C0038505
9674906	disease	361	364	SWS	Stuve-Wiedemann syndrome	C537502		S3	CTD (MESH)	C0796176
9674906	disease	621	624	SJS	Osteochondrodysplasias	D010009		S4	CTD (MESH)	CUI-less
9674906	disease	665	668	SWS	Sturge-Weber Syndrome	D013341		S4	CTD (MESH)	C0038505
9674906	disease	665	668	SWS	Stuve-Wiedemann syndrome	C537502		S4	CTD (MESH)	C0796176
9674906	disease	729	732	SJS	Osteochondrodysplasias	D010009		S5	CTD (MESH)	CUI-less
9674906	disease	736	739	SWS	Sturge-Weber Syndrome	D013341		S5	CTD (MESH)	C0038505
9674906	disease	736	739	SWS	Stuve-Wiedemann syndrome	C537502		S5	CTD (MESH)	C0796176
9674906	disease	1251	1254	SJS	Osteochondrodysplasias	D010009		S7	CTD (MESH)	CUI-less
9674906	disease	1272	1275	SWS	Sturge-Weber Syndrome	D013341		S7	CTD (MESH)	C0038505
9674906	disease	1272	1275	SWS	Stuve-Wiedemann syndrome	C537502		S7	CTD (MESH)	C0796176
9674906	disease	1365	1368	SWS	Sturge-Weber Syndrome	D013341		S8	CTD (MESH)	C0038505
9674906	disease	1365	1368	SWS	Stuve-Wiedemann syndrome	C537502		S8	CTD (MESH)	C0796176
9674906	disease	1373	1376	SJS	Osteochondrodysplasias	D010009		S8	CTD (MESH)	CUI-less
